Phy,mycorrhiza.type,Consensus_state,Number,Fraction
Acacia_oncinocarpa,"EcM,AM",,,
Acacia_oncinocarpa,"EcM,AM",,,
Acacia_oncinocarpa,AM; no others,,,
Acacia_oncinocarpa,AM; no others,,,
Acacia_oncinocarpa,AM; no others,,,
Acacia_oncinocarpa,AM; no others,,,
Acacia_pellita,"EcM,AM",,,
Acacia_platycarpa,EcM; no others,,,
Acacia_platycarpa,AM; no others,,,
Acacia_platycarpa,EcM; no others,,,
Acacia_plectocarpa,"EcM,AM",,,
Acacia_plectocarpa,"EcM,AM",,,
Acacia_plectocarpa,AM; no others,,,
Acacia_plectocarpa,EcM; no others,,,
Acacia_pravissima,EcM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,AM; no others,,,
Acacia_pulchella,"EcM,AM",,,
Acacia_pycnantha,AM; no others,,,
Acacia_pycnantha,AM; no others,,,
Acacia_pycnantha,EcM; no others,,,
Acacia_pycnantha,EcM; others not addressed,,,
Acacia_pyrifolia,AM; no others,,,
Acacia_pyrifolia,AM; no others,,,
Acacia_pyrifolia,AM; no others,,,
Acacia_retinodes,EcM; no others,,,
Acacia_retinodes,EcM; no others,,,
Acacia_retinodes,EcM; others not addressed,,,
Acacia_retinodes,EcM; others not addressed,,,
Acacia_retinodes,non-EcM; others not addressed,,,
Acacia_richii,AM; no others,,,
Acacia_richii,AM; no others,,,
Acacia_rigens,"EcM,AM",,,
Acacia_rothii,"EcM,AM",,,
Acacia_rothii,"EcM,AM",,,
Acacia_rubida,EcM; no others,,,
Acacia_rubida,EcM; no others,,,
Acacia_rubida,EcM; others not addressed,,,
Acacia_salicina,AM; no others,,,
Acacia_salicina,EcM; no others,,,
Acacia_salicina,EcM; no others,,,
Acacia_salicina,EcM; others not addressed,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_saligna,AM; no others,,,
Acacia_simsii,"EcM,AM",,,
Acacia_simsii,"EcM,AM",,,
Acacia_sparsiflora,EcM; no others,,,
Acacia_sparsiflora,EcM; no others,,,
Acacia_spathulifolia,AM; no others,,,
Acacia_spinescens,AM; no others,,,
Acacia_stenophylla,AM; no others,,,
Acacia_stricta,"EcM,AM",,,
Acacia_stricta,"EcM,AM",,,
Acacia_suaveolens,AM; no others,,,
Acacia_suaveolens,AM; no others,,,
Acacia_suaveolens,"EcM,AM",,,
Acacia_torulosa,AM; no others,,,
Acacia_torulosa,AM; no others,,,
Acacia_torulosa,AM; no others,,,
Acacia_torulosa,AM; no others,,,
Acacia_torulosa,"EcM,AM",,,
Acacia_trachycarpa,"EcM,AM",,,
Acacia_translucens,"EcM,AM",,,
Acacia_tumida,AM; no others,,,
Acacia_tumida,AM; no others,,,
Acacia_ulicifolia,"EcM,AM",,,
Acacia_urophylla,AM; no others,,,
Acacia_urophylla,AM; no others,,,
Acacia_verniciflua,AM; no others,,,
Acacia_verticillata,EcM; no others,,,
Acacia_verticillata,EcM; no others,,,
Acacia_verticillata,EcM; others not addressed,,,
Acacia_yirrkallensis,AM; no others,,,
Acacia_yirrkallensis,AM; no others,,,
Acacia_yirrkallensis,AM; no others,,,
Acmispon_brachycarpus,AM; others not addressed,,,
Acmispon_subpinnatus,AM; others not addressed,,,
Acrocarpus_fraxinifolius,AM; others not addressed,,,
Adesmia_retusa,AM; no others,,,
Aeschynomene_americana,AM; others not addressed,,,
Aeschynomene_americana,AM; others not addressed,,,
Aeschynomene_americana,AM; others not addressed,,,
Aeschynomene_americana,AM; others not addressed,,,
Aeschynomene_aspera,non-AM; others not addressed,,,
Aeschynomene_aspera,AM; others not addressed,,,
Aeschynomene_aspera,AM; others not addressed,,,
Aeschynomene_indica,AM; others not addressed,,,
Aeschynomene_indica,AM; others not addressed,,,
Aeschynomene_indica,AM; others not addressed,,,
Aeschynomene_indica,AM; others not addressed,,,
Aeschynomene_indica,AM; others not addressed,,,
Albizia_amara,AM; others not addressed,,,
Albizia_amara,AM; others not addressed,,,
Albizia_amara,AM; others not addressed,,,
Albizia_chinensis,AM; others not addressed,,,
Albizia_coriaria,AM; no others,,,
Albizia_gummifera,AM; no others,,,
Albizia_gummifera,AM; others not addressed,,,
Albizia_gummifera,AM; others not addressed,,,
Albizia_inundata,AM; no others,,,
Albizia_inundata,AM; others not addressed,,,
Albizia_julibrissin,AM; others not addressed,,,
Albizia_julibrissin,"EcM,AM",,,
Albizia_julibrissin,AM; others not addressed,,,
Albizia_kalkora,AM; others not addressed,,,
Albizia_kalkora,AM; others not addressed,,,
Albizia_kalkora,AM; no others,,,
Albizia_lebbeck,non-AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; no others,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,AM; others not addressed,,,
Albizia_lebbeck,non-mycorrhizal (checked for all types),,,
Albizia_lucidior,"EcM,AM",,,
Albizia_niopoides,AM; others not addressed,,,
Albizia_niopoides,AM; others not addressed,,,
Albizia_odoratissima,non-AM; others not addressed,,,
Albizia_odoratissima,AM; no others,,,
Albizia_odoratissima,AM; no others,,,
Albizia_odoratissima,AM; no others,,,
Albizia_procera,AM; others not addressed,,,
Albizia_procera,AM; no others,,,
Albizia_procera,AM; others not addressed,,,
Albizia_procera,AM; no others,,,
Albizia_procera,AM; no others,,,
Albizia_schimperiana,AM; others not addressed,,,
Albizia_schimperiana,AM; others not addressed,,,
Albizia_versicolor,AM; no others,,,
Aldina_latifolia,EcM; no others,,,
Aldina_latifolia,EcM; others not addressed,,,
Alhagi_maurorum,AM; others not addressed,,,
Alhagi_maurorum,AM; others not addressed,,,
Alhagi_maurorum,AM; others not addressed,,,
Alhagi_maurorum,AM; others not addressed,,,
Alhagi_sparsifolia,non-AM; others not addressed,,,
Alhagi_sparsifolia,AM; others not addressed,,,
Alysicarpus_glumaceus,AM; no others,,,
Alysicarpus_monilifer,AM; others not addressed,,,
Alysicarpus_monilifer,AM; others not addressed,,,
Alysicarpus_monilifer,AM; others not addressed,,,
Alysicarpus_monilifer,AM; others not addressed,,,
Alysicarpus_monilifer,AM; others not addressed,,,
Alysicarpus_rugosus,non-AM; others not addressed,,,
Alysicarpus_rugosus,AM; others not addressed,,,
Alysicarpus_rugosus,AM; no others,,,
Alysicarpus_vaginalis,AM; others not addressed,,,
Alysicarpus_vaginalis,AM; others not addressed,,,
Alysicarpus_vaginalis,AM; others not addressed,,,
Alysicarpus_vaginalis,AM; no others,,,
Alysicarpus_vaginalis,AM; others not addressed,,,
Alysicarpus_vaginalis,AM; others not addressed,,,
Alysicarpus_vaginalis,AM; no others,,,
Alysicarpus_vaginalis,AM; no others,,,
Alysicarpus_vaginalis,AM; no others,,,
Amburana_cearensis,AM; others not addressed,,,
Ammopiptanthus_mongolicus,AM; others not addressed,,,
Amorpha_canescens,AM; others not addressed,,,
Amorpha_canescens,AM; others not addressed,,,
Amorpha_fruticosa,AM; others not addressed,,,
Amorpha_fruticosa,AM; no others,,,
Amphicarpaea_bracteata,AM; others not addressed,,,
Amphicarpaea_bracteata,AM; others not addressed,,,
Amphicarpaea_bracteata,AM; others not addressed,,,
Anadenanthera_colubrina,AM; others not addressed,,,
Anadenanthera_colubrina,AM; others not addressed,,,
Anadenanthera_colubrina,AM; others not addressed,,,
Anadenanthera_colubrina,AM; others not addressed,,,
Anadenanthera_colubrina,AM; others not addressed,,,
Anadenanthera_peregrina,AM; others not addressed,,,
Anadenanthera_peregrina,AM; others not addressed,,,
Anadenanthera_peregrina,AM; others not addressed,,,
Anadenanthera_peregrina,AM; others not addressed,,,
Anadenanthera_peregrina,AM; others not addressed,,,
Andira_coriacea,AM; others not addressed,,,
Andira_inermis,AM; no others,,,
Andira_inermis,AM; others not addressed,,,
Anthyllis_cytisoides,AM; others not addressed,,,
Anthyllis_cytisoides,AM; others not addressed,,,
Anthyllis_cytisoides,AM; others not addressed,,,
Anthyllis_cytisoides,AM; others not addressed,,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,non-mycorrhizal (checked for all types),,,
Anthyllis_vulneraria,non-mycorrhizal (checked for all types),,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,non-mycorrhizal (checked for all types),,,
Anthyllis_vulneraria,AM; others not addressed,,,
Anthyllis_vulneraria,AM; no others,,,
Apuleia_leiocarpa,AM; no others,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; no others,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Arachis_hypogaea,AM; others not addressed,,,
Archidendron_clypearia,AM; others not addressed,,,
Archidendron_lucidum,AM; others not addressed,,,
Aspalathus_albens,AM; no others,,,
Aspalathus_cordata,AM; others not addressed,,,
Aspalathus_divaricata,non-mycorrhizal (checked for all types),,,
Aspalathus_flexuosa,AM; no others,,,
Aspalathus_linearis,AM; others not addressed,,,
Aspalathus_linearis,AM; no others,,,
Aspalathus_spinescens,AM; others not addressed,,,
Aspalathus_spinescens,AM; no others,,,
Aspalathus_ternata,AM; no others,,,
Astragalus_adsurgens,AM; others not addressed,,,
Astragalus_adsurgens,non-AM; others not addressed,,,
Astragalus_alopecias,AM; others not addressed,,,
Astragalus_alpinus,AM; no others,,,
Astragalus_alpinus,non-mycorrhizal (checked for all types),,,
Astragalus_alpinus,non-mycorrhizal (checked for all types),,,
Astragalus_alpinus,non-mycorrhizal (checked for all types),,,
Astragalus_alpinus,non-AM; others not addressed,,,
Astragalus_alpinus,non-mycorrhizal (checked for all types),,,
Astragalus_alpinus,non-mycorrhizal (checked for all types),,,
Astragalus_bisulcatus,AM; others not addressed,,,
Astragalus_chlorostachys,AM; others not addressed,,,
Astragalus_crassicarpus,AM; others not addressed,,,
Astragalus_danicus,AM; others not addressed,,,
Astragalus_danicus,AM; others not addressed,,,
Astragalus_danicus,non-mycorrhizal (checked for all types),,,
Astragalus_drummondii,AM; others not addressed,,,
Astragalus_filicaulis,AM; others not addressed,,,
Astragalus_frigidus,non-AM; others not addressed,,,
Astragalus_frigidus,non-mycorrhizal (checked for all types),,,
Astragalus_gambelianus,AM; others not addressed,,,
Astragalus_graveolens,AM; no others,,,
Astragalus_kentrophyta,AM; others not addressed,,,
Astragalus_kentrophyta,non-mycorrhizal (checked for all types),,,
Astragalus_lehmannianus,non-mycorrhizal (checked for all types),,,
Astragalus_monspessulanus,AM; others not addressed,,,
Astragalus_monspessulanus,AM; others not addressed,,,
Astragalus_monspessulanus,non-mycorrhizal (checked for all types),,,
Astragalus_monspessulanus,AM; others not addressed,,,
Astragalus_onobrychis,AM; others not addressed,,,
Astragalus_onobrychis,AM; no others,,,
Astragalus_oxyglottis,AM; others not addressed,,,
Astragalus_pectinatus,AM; others not addressed,,,
Astragalus_purshii,AM; no others,,,
Astragalus_scaberrimus,AM; others not addressed,,,
Astragalus_sinicus,AM; others not addressed,,,
Astragalus_sinicus,AM; others not addressed,,,
Astragalus_sinicus,AM; others not addressed,,,
Astragalus_tribuloides,AM; others not addressed,,,
Astragalus_umbellatus,AM; no others,,,
Baikiaea_insignis,AM; no others,,,
Baikiaea_insignis,EcM; no others,,,
Baikiaea_plurijuga,AM; no others,,,
Baphia_laurifolia,"EcM,AM",,,
Baphia_laurifolia,"EcM,AM",,,
Baptisia_alba,AM; others not addressed,,,
Baptisia_alba,AM; others not addressed,,,
Baptisia_alba,AM; others not addressed,,,
Bauhinia_acuminata,AM; no others,,,
Bauhinia_diphylla,AM; no others,,,
Bauhinia_forficata,AM; no others,,,
Bauhinia_forficata,AM; others not addressed,,,
Bauhinia_forficata,AM; others not addressed,,,
Bauhinia_forficata,AM; others not addressed,,,
Bauhinia_galpinii,AM; no others,,,
Bauhinia_guianensis,AM; no others,,,
Bauhinia_malabarica,EcM; no others,,,
Bauhinia_malabarica,EcM; no others,,,
Bauhinia_ornata,AM; no others,,,
Bauhinia_petersiana,AM; no others,,,
Bauhinia_petersiana,AM; no others,,,
Bauhinia_petersiana,AM; no others,,,
Bauhinia_pulchella,non-mycorrhizal (checked for all types),,,
Bauhinia_racemosa,AM; others not addressed,,,
Bauhinia_racemosa,AM; others not addressed,,,
Bauhinia_racemosa,AM; others not addressed,,,
Bauhinia_racemosa,AM; no others,,,
Bauhinia_rufa,AM; others not addressed,,,
Bauhinia_rufa,EcM; no others,,,
Bauhinia_tomentosa,non-AM; others not addressed,,,
Bauhinia_variegata,AM; no others,,,
Bauhinia_variegata,non-AM; others not addressed,,,
Bauhinia_variegata,AM; no others,,,
Bauhinia_variegata,AM; no others,,,
Bauhinia_variegata,AM; no others,,,
Berlinia_bracteosa,EcM; others not addressed,,,
Berlinia_bracteosa,EcM; no others,,,
Berlinia_bracteosa,EcM; no others,,,
Berlinia_craibiana,EcM; no others,,,
Berlinia_craibiana,EcM; no others,,,
Bossiaea_aquifolium,AM; no others,,,
Bossiaea_aquifolium,AM; no others,,,
Bossiaea_aquifolium,AM; no others,,,
Bossiaea_bossiaeoides,AM; no others,,,
Bossiaea_bossiaeoides,AM; no others,,,
Bossiaea_eriocarpa,AM; no others,,,
Bossiaea_ornata,AM; no others,,,
Bossiaea_ornata,AM; no others,,,
Bossiaea_ornata,AM; no others,,,
Bossiaea_prostrata,AM; no others,,,
Brachystegia_boehmii,EcM; no others,,,
Brachystegia_boehmii,EcM; no others,,,
Brachystegia_boehmii,EcM; others not addressed,,,
Brachystegia_boehmii,EcM; no others,,,
Brachystegia_boehmii,EcM; others not addressed,,,
Brachystegia_bussei,EcM; no others,,,
Brachystegia_bussei,EcM; others not addressed,,,
Brachystegia_bussei,EcM; others not addressed,,,
Brachystegia_cynometroides,EcM; others not addressed,,,
Brachystegia_floribunda,EcM; no others,,,
Brachystegia_floribunda,EcM; others not addressed,,,
Brachystegia_laurentii,EcM; others not addressed,,,
Brachystegia_laurentii,EcM; others not addressed,,,
Brachystegia_microphylla,EcM; no others,,,
Brachystegia_microphylla,EcM; others not addressed,,,
Brachystegia_microphylla,EcM; no others,,,
Brachystegia_microphylla,EcM; others not addressed,,,
Brachystegia_utilis,EcM; others not addressed,,,
Brachystegia_utilis,EcM; no others,,,
Brownea_ariza,non-mycorrhizal (checked for all types),,,
Butea_monosperma,AM; others not addressed,,,
Butea_monosperma,AM; others not addressed,,,
Butea_monosperma,AM; no others,,,
Caesalpinia_bonduc,non-AM; others not addressed,,,
Caesalpinia_crista,AM; no others,,,
Caesalpinia_decapetala,AM; others not addressed,,,
Caesalpinia_decapetala,"EcM,AM",,,
Caesalpinia_echinata,AM; others not addressed,,,
Caesalpinia_eriostachys,AM; others not addressed,,,
Caesalpinia_ferrea,AM; others not addressed,,,
Caesalpinia_ferrea,AM; others not addressed,,,
Caesalpinia_ferrea,AM; others not addressed,,,
Caesalpinia_ferrea,AM; others not addressed,,,
Caesalpinia_gilliesii,AM; no others,,,
Caesalpinia_gilliesii,AM; no others,,,
Caesalpinia_gilliesii,AM; others not addressed,,,
Caesalpinia_gilliesii,AM; others not addressed,,,
Caesalpinia_gilliesii,AM; no others,,,
Caesalpinia_pluviosa,AM; others not addressed,,,
Caesalpinia_pluviosa,non-mycorrhizal (checked for all types),,,
Caesalpinia_pluviosa,AM; others not addressed,,,
Cajanus_acutifolius,AM; no others,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_cajan,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; others not addressed,,,
Cajanus_scarabaeoides,AM; no others,,,
Cajanus_scarabaeoides,AM; no others,,,
Calliandra_brevipes,AM; no others,,,
Calliandra_eriophylla,AM; others not addressed,,,
Calliandra_erubescens,AM; no others,,,
Calliandra_haematocephala,non-mycorrhizal (checked for all types),,,
Calliandra_parvifolia,"EcM,AM",,,
Calopogonium_caeruleum,AM; others not addressed,,,
Calpocalyx_dinklagei,AM; no others,,,
Calpocalyx_dinklagei,AM; no others,,,
Calpocalyx_dinklagei,EcM; no others,,,
Campsiandra_comosa,AM; others not addressed,,,
Canavalia_cathartica,AM; others not addressed,,,
Canavalia_gladiata,AM; others not addressed,,,
Canavalia_gladiata,AM; others not addressed,,,
Canavalia_lineata,AM; others not addressed,,,
Canavalia_lineata,AM; others not addressed,,,
Canavalia_lineata,AM; others not addressed,,,
Canavalia_rosea,AM; others not addressed,,,
Canavalia_rosea,AM; others not addressed,,,
Canavalia_rosea,AM; others not addressed,,,
Caragana_arborescens,AM; others not addressed,,,
Caragana_arborescens,AM; others not addressed,,,
Caragana_arborescens,AM; others not addressed,,,
Caragana_arborescens,AM; no others,,,
Caragana_korshinskii,AM; others not addressed,,,
Caragana_sinica,AM; others not addressed,,,
Caragana_turkestanica,AM; others not addressed,,,
Carmichaelia_petriei,AM; others not addressed,,,
Cassia_abbreviata,AM; no others,,,
Cassia_fistula,AM; no others,,,
Cassia_fistula,AM; others not addressed,,,
Cassia_fistula,AM; others not addressed,,,
Cassia_fistula,EcM; no others,,,
Cassia_fistula,AM; no others,,,
Cassia_fistula,AM; others not addressed,,,
Cassia_fistula,AM; others not addressed,,,
Cassia_fistula,EcM; no others,,,
Cassia_fistula,AM; no others,,,
Cassia_fistula,AM; no others,,,
Cassia_fistula,AM; no others,,,
Cassia_grandis,AM; others not addressed,,,
Cassia_grandis,AM; no others,,,
Cassia_grandis,AM; others not addressed,,,
Cassia_roxburghii,AM; others not addressed,,,
Castanospermum_australe,AM; others not addressed,,,
Cedrelinga_cateniformis,AM; others not addressed,,,
Cedrelinga_cateniformis,AM; others not addressed,,,
Cedrelinga_cateniformis,AM; no others,,,
Cedrelinga_cateniformis,"EcM,AM",,,
Centrolobium_robustum,AM; others not addressed,,,
Centrolobium_tomentosum,AM; others not addressed,,,
Centrolobium_tomentosum,AM; others not addressed,,,
Centrolobium_tomentosum,AM; others not addressed,,,
Centrolobium_tomentosum,AM; others not addressed,,,
Centrolobium_tomentosum,AM; others not addressed,,,
Centrosema_brasilianum,AM; others not addressed,,,
Centrosema_pascuorum,AM; others not addressed,,,
Centrosema_pubescens,AM; others not addressed,,,
Centrosema_pubescens,AM; others not addressed,,,
Centrosema_pubescens,AM; no others,,,
Centrosema_venosum,AM; no others,,,
Centrosema_venosum,AM; no others,,,
Ceratonia_siliqua,AM; others not addressed,,,
Ceratonia_siliqua,AM; others not addressed,,,
Cercis_canadensis,EcM; no others,,,
Cercis_siliquastrum,AM; others not addressed,,,
Chamaecrista_absus,AM; others not addressed,,,
Chamaecrista_absus,AM; others not addressed,,,
Chamaecrista_absus,AM; others not addressed,,,
Chamaecrista_absus,AM; others not addressed,,,
Chamaecrista_absus,AM; others not addressed,,,
Chamaecrista_apoucouita,AM; no others,,,
Chamaecrista_chamaecristoides,AM; others not addressed,,,
Chamaecrista_desvauxii,AM; no others,,,
Chamaecrista_desvauxii,AM; no others,,,
Chamaecrista_nictitans,AM; others not addressed,,,
Chamaecrista_nomame,AM; others not addressed,,,
Chamaecrista_pumila,non-mycorrhizal (checked for all types),,,
Chamaecrista_ramosa,AM; others not addressed,,,
Chamaecrista_rotundifolia,AM; others not addressed,,,
Chorizema_cordatum,EcM; others not addressed,,,
Chorizema_diversifolium,EcM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cicer_arietinum,AM; others not addressed,,,
Cladrastis_sikokiana,AM; others not addressed,,,
Clathrotropis_macrocarpa,AM; no others,,,
Clitoria_amazonum,AM; no others,,,
Clitoria_fairchildiana,AM; others not addressed,,,
Clitoria_fairchildiana,AM; others not addressed,,,
Clitoria_fairchildiana,AM; others not addressed,,,
Clitoria_fairchildiana,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; others not addressed,,,
Clitoria_ternatea,AM; no others,,,
Clitoria_ternatea,AM; no others,,,
Codariocalyx_motorius,non-mycorrhizal (checked for all types),,,
Colvillea_racemosa,AM; others not addressed,,,
Copaifera_langsdorffii,AM; others not addressed,,,
Copaifera_langsdorffii,AM; others not addressed,,,
Copaifera_langsdorffii,AM; others not addressed,,,
Copaifera_langsdorffii,AM; others not addressed,,,
Copaifera_langsdorffii,AM; others not addressed,,,
Copaifera_officinalis,AM; no others,,,
Coronilla_scorpioides,AM; no others,,,
Crotalaria_albida,AM; others not addressed,,,
Crotalaria_albida,AM; no others,,,
Crotalaria_angulata,AM; others not addressed,,,
Crotalaria_assamica,AM; others not addressed,,,
Crotalaria_brevis,AM; no others,,,
Crotalaria_burhia,AM; others not addressed,,,
Crotalaria_burhia,AM; others not addressed,,,
Crotalaria_burhia,AM; others not addressed,,,
Crotalaria_burhia,AM; no others,,,
Crotalaria_incana,AM; others not addressed,,,
Crotalaria_incana,AM; others not addressed,,,
Crotalaria_juncea,AM; others not addressed,,,
Crotalaria_juncea,AM; others not addressed,,,
Crotalaria_juncea,non-AM; others not addressed,,,
Crotalaria_juncea,AM; others not addressed,,,
Crotalaria_juncea,AM; no others,,,
Crotalaria_juncea,AM; others not addressed,,,
Crotalaria_laburnifolia,AM; others not addressed,,,
Crotalaria_linifolia,AM; others not addressed,,,
Crotalaria_medicaginea,AM; others not addressed,,,
Crotalaria_medicaginea,AM; others not addressed,,,
Crotalaria_medicaginea,AM; no others,,,
Crotalaria_mysorensis,AM; others not addressed,,,
Crotalaria_mysorensis,AM; others not addressed,,,
Crotalaria_nana,non-AM; others not addressed,,,
Crotalaria_ochroleuca,AM; others not addressed,,,
Crotalaria_pallida,AM; others not addressed,,,
Crotalaria_pallida,AM; others not addressed,,,
Crotalaria_prostrata,AM; others not addressed,,,
Crotalaria_prostrata,AM; others not addressed,,,
Crotalaria_prostrata,AM; others not addressed,,,
Crotalaria_prostrata,AM; others not addressed,,,
Crotalaria_quinquefolia,AM; no others,,,
Crotalaria_quinquefolia,AM; others not addressed,,,
Crotalaria_quinquefolia,AM; others not addressed,,,
Crotalaria_quinquefolia,AM; others not addressed,,,
Crotalaria_retusa,AM; others not addressed,,,
Crotalaria_retusa,AM; others not addressed,,,
Crotalaria_trichotoma,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crotalaria_verrucosa,AM; others not addressed,,,
Crudia_aromatica,AM; others not addressed,,,
Cullen_corylifolium,AM; others not addressed,,,
Cyamopsis_tetragonoloba,non-AM; others not addressed,,,
Cylicodiscus_gabunensis,AM; others not addressed,,,
Cynometra_hankei,AM; no others,,,
Cytisus_austriacus,AM; others not addressed,,,
Cytisus_purpureus,AM; others not addressed,,,
Cytisus_ruthenicus,AM; others not addressed,,,
Cytisus_scoparius,AM; others not addressed,,,
Cytisus_scoparius,AM; others not addressed,,,
Cytisus_scoparius,AM; others not addressed,,,
Cytisus_scoparius,non-EcM; others not addressed,,,
Dalbergia_assamica,EcM; no others,,,
Dalbergia_assamica,EcM; no others,,,
Dalbergia_assamica,AM; no others,,,
Dalbergia_horrida,non-mycorrhizal (checked for all types),,,
Dalbergia_hupeana,AM; others not addressed,,,
Dalbergia_hupeana,"EcM,AM",,,
Dalbergia_inundata,AM; no others,,,
Dalbergia_lanceolaria,non-AM; others not addressed,,,
