"","x"
"238","Pheidolini"
"239","Pheidolini"
"240","Pheidolini"
"241",NA
"242","Pheidolini"
"243","Pheidolini"
"244","Pheidolini"
"245","Pheidolini"
"246","Pheidolini"
"247","Pheidolini"
"248",NA
"249","Pheidolini"
"250","Pheidolini"
"251","Pheidolini"
"252",NA
"253","Pheidolini"
"254","Pheidolini"
"255","Pheidolini"
"256","Pheidolini"
"257","Pheidolini"
"258","Pheidolini"
"259","Pheidolini"
"260","Pheidolini"
"261","Pheidolini"
"262",NA
"263","Pheidolini"
"264","Pheidolini"
"265","Pheidolini"
"266","Pheidolini"
"267","Pheidolini"
"268","Pheidolini"
"269","Pheidolini"
"270","Pheidolini"
"271","Brachymyrmecini"
"272",NA
"273","Attini"
"274","Attini"
"275","Attini"
"276",NA
"277","Attini"
"278","Attini"
"279","Attini"
"280",NA
"281","Attini"
"282","Attini"
"283","Attini"
"284",NA
"285",NA
"286",NA
"287","Formicoxenini"
"288","Attini"
"289","Attini"
"290","Attini"
"291",NA
"292",NA
"293",NA
"294","Attini"
"295","Attini"
"296","Attini"
"297","Attini"
"298","Attini"
"299","Attini"
"300",NA
"301","Attini"
"302","Attini"
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",NA
"322",NA
"323",NA
"324",NA
"325",NA
"326",NA
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",NA
"333",NA
"334",NA
"335",NA
"336",NA
"337",NA
"338",NA
"339",NA
"340",NA
"341",NA
"342","Stenammini"
"343","Basicerotini"
"344","Blepharidattini"
"345","Blepharidattini"
"346",NA
"347",NA
"348",NA
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",NA
"358",NA
"359",NA
"360","Brachymyrmecini"
"361",NA
"362","Brachymyrmecini"
"363","Brachymyrmecini"
"364","Brachymyrmecini"
"365","Brachymyrmecini"
"366","Brachymyrmecini"
"367","Brachymyrmecini"
"368","Brachymyrmecini"
"369","Brachymyrmecini"
"370","Brachymyrmecini"
"371","Brachymyrmecini"
"372",NA
"373","Brachymyrmecini"
"374","Brachymyrmecini"
"375","Brachymyrmecini"
"376","Brachymyrmecini"
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385","Camponotini"
"386","Stenammini"
"387","Stenammini"
"388",NA
"389","Stenammini"
"390","Stenammini"
"391","Camponotini"
"392",NA
"393","Camponotini"
"394","Camponotini"
"395","Camponotini"
"396","Camponotini"
"397",NA
"398","Camponotini"
"399","Camponotini"
"400",NA
"401","Camponotini"
"402",NA
"403",NA
"404","Camponotini"
"405",NA
"406",NA
"407","Camponotini"
"408",NA
"409","Camponotini"
"410",NA
"411","Camponotini"
"412",NA
"413","Camponotini"
"414","Camponotini"
"415","Camponotini"
"416","Camponotini"
"417","Camponotini"
"418","Camponotini"
"419","Camponotini"
"420","Camponotini"
"421","Camponotini"
"422","Camponotini"
"423","Camponotini"
"424",NA
"425","Camponotini"
"426","Camponotini"
"427","Camponotini"
"428","Camponotini"
"429",NA
"430","Camponotini"
"431","Camponotini"
"432","Camponotini"
"433","Camponotini"
"434","Camponotini"
"435","Camponotini"
"436","Camponotini"
"437","Camponotini"
"438","Camponotini"
"439","Camponotini"
"440","Camponotini"
"441","Camponotini"
"442","Camponotini"
"443","Camponotini"
"444","Camponotini"
"445","Camponotini"
"446","Camponotini"
"447","Camponotini"
"448","Camponotini"
"449","Camponotini"
"450","Camponotini"
"451","Camponotini"
"452","Camponotini"
"453","Camponotini"
"454","Camponotini"
"455","Camponotini"
"456","Camponotini"
"457",NA
"458","Camponotini"
"459","Camponotini"
"460",NA
"461","Camponotini"
"462","Camponotini"
"463","Camponotini"
"464","Camponotini"
"465","Camponotini"
"466","Camponotini"
"467","Camponotini"
"468",NA
"469","Camponotini"
"470","Camponotini"
"471","Camponotini"
"472",NA
"473","Camponotini"
"474","Camponotini"
"475",NA
"476","Camponotini"
"477","Camponotini"
"478",NA
"479","Camponotini"
"480","Camponotini"
"481","Camponotini"
"482","Camponotini"
"483","Camponotini"
"484","Camponotini"
"485","Camponotini"
"486","Camponotini"
"487",NA
"488","Camponotini"
"489","Camponotini"
"490","Camponotini"
"491","Camponotini"
"492",NA
"493","Camponotini"
"494","Camponotini"
"495","Camponotini"
"496",NA
"497","Camponotini"
"498","Camponotini"
"499","Camponotini"
"500","Camponotini"
"501","Camponotini"
"502","Camponotini"
"503","Camponotini"
"504","Camponotini"
"505","Camponotini"
"506","Camponotini"
"507","Camponotini"
"508",NA
"509","Camponotini"
"510","Camponotini"
"511","Camponotini"
"512","Camponotini"
"513",NA
"514","Camponotini"
"515","Camponotini"
"516",NA
"517","Camponotini"
"518","Camponotini"
"519","Camponotini"
"520","Camponotini"
"521",NA
"522","Camponotini"
"523","Camponotini"
"524",NA
"525","Camponotini"
"526","Camponotini"
"527","Camponotini"
"528","Camponotini"
"529","Camponotini"
"530","Camponotini"
"531","Camponotini"
"532","Camponotini"
"533","Camponotini"
"534",NA
"535",NA
"536","Camponotini"
"537","Camponotini"
"538",NA
"539","Camponotini"
"540",NA
"541","Camponotini"
"542","Camponotini"
"543","Camponotini"
"544","Camponotini"
"545","Camponotini"
"546","Camponotini"
"547","Camponotini"
"548",NA
"549","Camponotini"
"550","Camponotini"
"551","Camponotini"
"552",NA
"553","Camponotini"
"554",NA
"555","Camponotini"
"556",NA
"557","Camponotini"
"558",NA
"559",NA
"560","Camponotini"
"561",NA
"562",NA
"563",NA
"564",NA
"565","Camponotini"
"566","Camponotini"
"567","Camponotini"
"568","Camponotini"
"569","Camponotini"
"570","Camponotini"
"571","Camponotini"
"572","Camponotini"
"573","Camponotini"
"574","Camponotini"
"575","Camponotini"
"576","Camponotini"
"577","Camponotini"
"578","Camponotini"
"579","Camponotini"
"580","Camponotini"
"581","Camponotini"
"582","Camponotini"
"583","Camponotini"
"584",NA
"585","Camponotini"
"586","Camponotini"
"587","Camponotini"
"588","Camponotini"
"589","Camponotini"
"590","Camponotini"
"591","Camponotini"
"592","Camponotini"
"593","Camponotini"
"594","Camponotini"
"595","Camponotini"
"596","Camponotini"
"597","Camponotini"
"598",NA
"599",NA
"600","Camponotini"
"601","Camponotini"
"602",NA
"603","Camponotini"
"604",NA
"605","Camponotini"
"606","Camponotini"
"607",NA
"608","Camponotini"
"609","Camponotini"
"610","Camponotini"
"611","Camponotini"
"612","Camponotini"
"613","Camponotini"
"614","Camponotini"
"615",NA
"616","Camponotini"
"617",NA
"618","Camponotini"
"619","Camponotini"
"620","Camponotini"
"621","Camponotini"
"622","Camponotini"
"623","Camponotini"
"624","Camponotini"
"625","Camponotini"
"626",NA
"627","Camponotini"
"628","Camponotini"
"629","Camponotini"
"630",NA
"631","Camponotini"
"632","Camponotini"
"633","Camponotini"
"634","Camponotini"
"635","Camponotini"
"636",NA
"637","Camponotini"
"638","Camponotini"
"639",NA
"640","Camponotini"
"641","Camponotini"
"642","Camponotini"
"643","Camponotini"
"644","Camponotini"
"645","Camponotini"
"646","Camponotini"
"647","Camponotini"
"648","Camponotini"
"649","Camponotini"
"650","Camponotini"
"651","Camponotini"
"652","Camponotini"
"653",NA
"654","Camponotini"
"655","Camponotini"
"656","Camponotini"
"657","Camponotini"
"658","Camponotini"
"659","Camponotini"
"660","Camponotini"
"661","Camponotini"
"662","Camponotini"
"663",NA
"664","Camponotini"
"665","Camponotini"
"666",NA
"667","Camponotini"
"668","Camponotini"
"669",NA
"670","Camponotini"
"671",NA
"672","Camponotini"
"673",NA
"674","Camponotini"
"675","Camponotini"
"676","Camponotini"
"677","Camponotini"
"678","Camponotini"
"679","Camponotini"
"680","Camponotini"
"681",NA
"682","Camponotini"
"683","Camponotini"
"684","Camponotini"
"685",NA
"686","Camponotini"
"687","Camponotini"
"688","Camponotini"
"689","Camponotini"
"690",NA
"691",NA
"692","Camponotini"
"693","Camponotini"
"694","Camponotini"
"695",NA
"696","Formicoxenini"
"697",NA
"698","Formicoxenini"
"699","Formicoxenini"
"700","Formicoxenini"
"701",NA
"702",NA
"703",NA
"704",NA
"705",NA
"706","Formicoxenini"
"707","Formicoxenini"
"708",NA
"709","Formicoxenini"
"710","Formicoxenini"
"711","Formicoxenini"
"712",NA
"713","Formicoxenini"
"714","Formicoxenini"
"715",NA
"716","Formicoxenini"
"717",NA
"718",NA
"719","Formicoxenini"
"720","Formicoxenini"
"721","Formicoxenini"
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",NA
"728","Pheidologetonini"
"729",NA
"730",NA
"731",NA
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737","Pheidologetonini"
"738","Pheidologetonini"
"739",NA
"740",NA
"741",NA
"742",NA
"743",NA
"744",NA
"745",NA
"746",NA
"747",NA
"748","Pheidologetonini"
"749",NA
"750",NA
"751",NA
"752",NA
"753",NA
"754","Pheidologetonini"
"755",NA
"756",NA
"757",NA
"758","Formicini"
"759",NA
"760","Formicini"
"761","Formicini"
"762",NA
"763","Formicini"
"764","Formicini"
"765",NA
"766",NA
"767","Formicini"
"768",NA
"769","Formicini"
"770","Formicini"
"771",NA
"772","Formicini"
"773",NA
"774",NA
"775",NA
"776","Formicini"
"777",NA
"778","Formicini"
"779","Formicini"
"780",NA
"781",NA
"782",NA
"783","Formicini"
"784",NA
"785","Formicini"
"786","Formicini"
"787",NA
"788",NA
"789",NA
"790",NA
"791","Formicini"
"792",NA
"793","Formicini"
"794","Formicini"
"795",NA
"796","Formicini"
"797",NA
"798","Formicini"
"799",NA
"800",NA
"801","Cataulacini"
"802","Cataulacini"
"803","Cataulacini"
"804","Cataulacini"
"805","Cataulacini"
"806","Cataulacini"
"807","Cataulacini"
"808","Ponerini"
"809","Ponerini"
"810","Ponerini"
"811","Cephalotini"
"812","Cephalotini"
"813","Cephalotini"
"814","Cephalotini"
"815","Cephalotini"
"816","Cephalotini"
"817","Cephalotini"
"818",NA
"819","Cephalotini"
"820","Cephalotini"
"821","Cephalotini"
"822","Cephalotini"
"823","Cephalotini"
"824","Cephalotini"
"825","Cephalotini"
"826",NA
"827","Cephalotini"
"828","Cephalotini"
"829","Cephalotini"
"830","Cephalotini"
"831","Cerapachyini"
"832",NA
"833",NA
"834","Cerapachyini"
"835","Cerapachyini"
"836",NA
"837",NA
"838","Cataulacini"
"839","Cataulacini"
"840","Cataulacini"
"841","Cataulacini"
"842","Cataulacini"
"843","Cataulacini"
"844","Cataulacini"
"845","Ponerini"
"846","Ponerini"
"847","Ponerini"
"848","Cephalotini"
"849","Cephalotini"
"850","Cephalotini"
"851","Cephalotini"
"852","Cephalotini"
"853","Cephalotini"
"854","Cephalotini"
"855",NA
"856","Cephalotini"
"857","Cephalotini"
"858","Cephalotini"
"859","Cephalotini"
"860","Cephalotini"
"861","Cephalotini"
"862","Cephalotini"
"863",NA
"864","Cephalotini"
"865","Cephalotini"
"866","Cephalotini"
"867","Cephalotini"
"868","Cerapachyini"
"869",NA
"870",NA
"871","Cerapachyini"
"872","Cerapachyini"
"873",NA
"874",NA
"875",NA
"876",NA
"877","Cerapachyini"
"878","Cerapachyini"
"879","Cerapachyini"
"880",NA
"881","Cerapachyini"
"882","Cerapachyini"
"883",NA
"884","Cerapachyini"
"885","Cerapachyini"
"886",NA
"887","Cerapachyini"
"888","Cerapachyini"
"889",NA
"890",NA
"891",NA
"892","Cerapachyini"
"893","Cerapachyini"
"894","Cerapachyini"
"895",NA
"896","Formicoxenini"
"897",NA
"898","Cheliomyrmecini"
"899","Cheliomyrmecini"
"900","Cheliomyrmecini"
"901",NA
"902","Brachymyrmecini"
"903","Brachymyrmecini"
"904","Brachymyrmecini"
"905",NA
"906",NA
"907",NA
"908",NA
"909","Crematogastrini"
"910","Crematogastrini"
"911","Crematogastrini"
"912","Crematogastrini"
"913",NA
"914","Crematogastrini"
"915",NA
"916","Crematogastrini"
"917","Crematogastrini"
"918","Crematogastrini"
"919","Crematogastrini"
"920","Crematogastrini"
"921","Crematogastrini"
"922","Crematogastrini"
"923","Crematogastrini"
"924","Crematogastrini"
"925","Crematogastrini"
"926","Crematogastrini"
"927","Crematogastrini"
"928","Crematogastrini"
"929","Crematogastrini"
"930","Crematogastrini"
"931","Crematogastrini"
"932","Crematogastrini"
"933","Crematogastrini"
"934","Crematogastrini"
"935","Crematogastrini"
"936",NA
"937","Crematogastrini"
"938","Crematogastrini"
"939","Crematogastrini"
"940","Crematogastrini"
"941","Crematogastrini"
"942","Crematogastrini"
"943","Crematogastrini"
"944","Crematogastrini"
"945",NA
"946","Crematogastrini"
"947","Crematogastrini"
"948","Crematogastrini"
"949","Crematogastrini"
"950","Crematogastrini"
"951","Crematogastrini"
"952","Crematogastrini"
"953","Crematogastrini"
"954",NA
"955","Crematogastrini"
"956","Crematogastrini"
"957","Crematogastrini"
"958","Crematogastrini"
"959",NA
"960","Crematogastrini"
"961","Crematogastrini"
"962","Crematogastrini"
"963","Crematogastrini"
"964","Crematogastrini"
"965","Crematogastrini"
"966","Crematogastrini"
"967","Crematogastrini"
"968","Crematogastrini"
"969","Crematogastrini"
"970","Crematogastrini"
"971","Crematogastrini"
"972","Crematogastrini"
"973","Crematogastrini"
"974","Crematogastrini"
"975","Crematogastrini"
"976",NA
"977","Crematogastrini"
"978","Crematogastrini"
"979","Crematogastrini"
"980",NA
"981","Crematogastrini"
"982","Crematogastrini"
"983","Crematogastrini"
"984","Crematogastrini"
"985",NA
"986","Crematogastrini"
"987",NA
"988","Crematogastrini"
"989","Crematogastrini"
"990","Crematogastrini"
"991","Crematogastrini"
"992","Crematogastrini"
"993","Crematogastrini"
"994","Crematogastrini"
"995",NA
"996","Crematogastrini"
"997","Crematogastrini"
"998",NA
"999","Crematogastrini"
"1000","Crematogastrini"
"1001","Crematogastrini"
"1002","Crematogastrini"
"1003","Crematogastrini"
"1004","Crematogastrini"
"1005","Crematogastrini"
"1006",NA
"1007","Crematogastrini"
"1008","Crematogastrini"
"1009",NA
"1010","Crematogastrini"
"1011","Crematogastrini"
"1012","Crematogastrini"
"1013","Crematogastrini"
"1014",NA
"1015",NA
"1016","Crematogastrini"
"1017","Crematogastrini"
"1018","Crematogastrini"
"1019","Crematogastrini"
"1020","Crematogastrini"
"1021","Crematogastrini"
"1022","Crematogastrini"
"1023",NA
"1024",NA
"1025","Crematogastrini"
"1026",NA
"1027","Crematogastrini"
"1028","Crematogastrini"
"1029","Crematogastrini"
"1030","Crematogastrini"
"1031","Crematogastrini"
"1032","Crematogastrini"
"1033",NA
"1034",NA
"1035","Crematogastrini"
"1036","Crematogastrini"
"1037","Crematogastrini"
"1038",NA
"1039",NA
"1040","Crematogastrini"
"1041",NA
"1042","Crematogastrini"
"1043","Crematogastrini"
"1044","Crematogastrini"
"1045",NA
"1046",NA
"1047","Ponerini"
"1048","Ponerini"
"1049",NA
"1050",NA
"1051","Ponerini"
"1052",NA
"1053",NA
"1054","Ponerini"
"1055",NA
"1056",NA
"1057","Cylindromyrmecini"
"1058",NA
"1059",NA
"1060","Attini"
"1061","Attini"
"1062","Attini"
"1063","Attini"
"1064","Attini"
"1065","Attini"
"1066","Attini"
"1067","Attini"
"1068",NA
"1069","Attini"
"1070","Attini"
"1071","Attini"
"1072",NA
"1073","Attini"
"1074","Attini"
"1075","Stenammini"
"1076","Dacetonini"
"1077",NA
"1078","Tetramoriini"
"1079","Tetramoriini"
"1080","Ponerini"
"1081","Ponerini"
"1082",NA
"1083","Ponerini"
"1084",NA
"1085","Ponerini"
"1086",NA
"1087","Ponerini"
"1088","Ponerini"
"1089",NA
"1090",NA
"1091","Stenammini"
"1092","Stenammini"
"1093","Formicoxenini"
"1094","Formicoxenini"
"1095",NA
"1096",NA
"1097","Formicoxenini"
"1098",NA
"1099","Ponerini"
"1100","Ponerini"
"1101",NA
"1102",NA
"1103","Ponerini"
"1104","Ponerini"
"1105","Ponerini"
"1106",NA
"1107","Proceratiini"
"1108",NA
"1109","Proceratiini"
"1110","Proceratiini"
"1111","Proceratiini"
"1112",NA
"1113","Proceratiini"
"1114","Proceratiini"
"1115","Proceratiini"
"1116","Proceratiini"
"1117",NA
"1118",NA
"1119","Proceratiini"
"1120","Proceratiini"
"1121",NA
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",NA
"1127",NA
"1128",NA
"1129",NA
"1130",NA
"1131",NA
"1132",NA
"1133",NA
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",NA
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145",NA
"1146",NA
"1147",NA
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",NA
"1154",NA
"1155",NA
"1156",NA
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",NA
"1163",NA
"1164",NA
"1165",NA
"1166",NA
"1167",NA
"1168",NA
"1169",NA
"1170",NA
"1171",NA
"1172",NA
"1173",NA
"1174",NA
"1175",NA
"1176",NA
"1177",NA
"1178",NA
"1179",NA
"1180",NA
"1181",NA
"1182",NA
"1183",NA
"1184",NA
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",NA
"1190",NA
"1191","Camponotini"
"1192","Camponotini"
"1193","Camponotini"
"1194","Camponotini"
"1195","Camponotini"
"1196","Ecitonini"
"1197","Ecitonini"
"1198","Ecitonini"
"1199","Ecitonini"
"1200","Ecitonini"
"1201","Ecitonini"
"1202","Ecitonini"
"1203","Ecitonini"
"1204","Ectatommini"
"1205","Ectatommini"
"1206","Ectatommini"
"1207","Ectatommini"
"1208","Ectatommini"
"1209","Ectatommini"
"1210",NA
"1211","Ectatommini"
"1212","Ectatommini"
"1213",NA
"1214","Ectatommini"
"1215","Ectatommini"
"1216","Ectatommini"
"1217","Ectatommini"
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",NA
"1224",NA
"1225",NA
"1226",NA
"1227",NA
"1228","Dacetonini"
"1229","Dacetonini"
"1230",NA
"1231","Agroecomyrmecini"
"1232","Agroecomyrmecini"
"1233","Lasiini"
"1234","Lasiini"
"1235",NA
"1236","Basicerotini"
"1237","Basicerotini"
"1238","Basicerotini"
"1239",NA
"1240","Basicerotini"
"1241",NA
"1242","Basicerotini"
"1243","Basicerotini"
"1244","Basicerotini"
"1245","Basicerotini"
"1246",NA
"1247","Myrmicini"
"1248",NA
"1249",NA
"1250",NA
"1251",NA
"1252",NA
"1253",NA
"1254",NA
"1255",NA
"1256",NA
"1257",NA
"1258",NA
"1259","Camponotini"
"1260",NA
"1261",NA
"1262","Formicini"
"1263","Formicini"
"1264",NA
"1265","Formicini"
"1266",NA
"1267","Formicini"
"1268","Formicini"
"1269","Formicini"
"1270","Formicini"
"1271",NA
"1272",NA
"1273","Formicini"
"1274",NA
"1275","Formicini"
"1276","Formicini"
"1277","Formicini"
"1278","Formicini"
"1279","Formicini"
"1280","Formicini"
"1281","Formicini"
"1282","Formicini"
"1283","Formicini"
"1284","Formicini"
"1285","Formicini"
"1286","Formicini"
"1287",NA
"1288","Formicini"
"1289","Formicini"
"1290",NA
"1291","Formicini"
"1292","Formicini"
"1293",NA
"1294","Formicini"
"1295","Formicini"
"1296","Formicini"
"1297",NA
"1298","Formicini"
"1299","Formicini"
"1300",NA
"1301","Formicini"
"1302","Formicini"
"1303",NA
"1304","Formicini"
"1305","Formicini"
"1306",NA
"1307","Formicini"
"1308",NA
"1309","Formicini"
"1310",NA
"1311","Formicini"
"1312","Formicini"
"1313",NA
"1314","Formicini"
"1315",NA
"1316",NA
"1317","Formicini"
"1318","Formicini"
"1319","Formicini"
"1320","Formicini"
"1321","Formicini"
"1322","Formicini"
"1323","Formicini"
"1324",NA
"1325",NA
"1326","Formicini"
"1327","Formicini"
"1328","Formicini"
"1329",NA
"1330",NA
"1331","Formicini"
"1332",NA
"1333","Formicini"
"1334","Formicini"
"1335","Formicini"
"1336","Formicini"
"1337","Formicini"
"1338","Formicini"
"1339","Formicini"
"1340","Formicini"
"1341","Formicini"
"1342",NA
"1343",NA
"1344","Formicini"
"1345","Formicini"
"1346","Formicini"
"1347",NA
"1348","Formicini"
"1349","Formicini"
"1350",NA
"1351",NA
"1352",NA
"1353","Formicini"
"1354","Formicini"
"1355","Formicini"
"1356","Formicini"
"1357","Formicini"
"1358","Formicini"
"1359","Formicini"
"1360","Formicini"
"1361","Formicini"
"1362","Formicini"
"1363","Formicini"
"1364","Formicini"
"1365","Formicini"
"1366","Formicini"
"1367","Formicini"
"1368","Formicini"
"1369",NA
"1370","Formicini"
"1371","Formicini"
"1372","Formicini"
"1373","Formicini"
"1374","Formicini"
"1375","Formicini"
"1376","Formicini"
"1377",NA
"1378","Formicini"
"1379",NA
"1380",NA
"1381","Formicini"
"1382","Formicini"
"1383","Formicini"
"1384",NA
"1385","Formicini"
"1386",NA
"1387","Formicini"
"1388","Formicini"
"1389","Formicoxenini"
"1390","Formicoxenini"
"1391","Formicoxenini"
"1392","Formicoxenini"
"1393","Formicoxenini"
"1394",NA
"1395",NA
"1396","Gesomyrmecini"
"1397","Gesomyrmecini"
"1398","Gesomyrmecini"
"1399",NA
"1400","Gigantiopini"
"1401",NA
"1402","Ectatommini"
"1403",NA
"1404","Ectatommini"
"1405",NA
"1406","Ectatommini"
"1407","Ectatommini"
"1408","Ectatommini"
"1409",NA
"1410",NA
"1411",NA
"1412","Ectatommini"
"1413","Ectatommini"
"1414","Ectatommini"
"1415","Ectatommini"
"1416","Ectatommini"
"1417","Ectatommini"
"1418","Ectatommini"
"1419","Ectatommini"
"1420","Ectatommini"
"1421","Ectatommini"
"1422","Ectatommini"
"1423","Ectatommini"
"1424",NA
"1425","Ectatommini"
"1426","Ectatommini"
"1427","Ectatommini"
"1428","Ectatommini"
"1429","Ectatommini"
"1430","Ectatommini"
"1431",NA
"1432","Pheidolini"
"1433","Pheidolini"
"1434",NA
"1435",NA
"1436","Pheidolini"
"1437","Pheidolini"
"1438",NA
"1439",NA
"1440","Formicoxenini"
"1441","Formicoxenini"
"1442","Ponerini"
"1443","Ponerini"
"1444","Ectatommini"
"1445","Ectatommini"
"1446","Ectatommini"
"1447","Ectatommini"
"1448","Pheidolini"
"1449","Ponerini"
"1450",NA
"1451",NA
"1452","Ponerini"
"1453","Ponerini"
"1454","Ponerini"
"1455","Ponerini"
"1456","Ponerini"
"1457","Ponerini"
"1458","Ponerini"
"1459","Ponerini"
"1460","Ponerini"
"1461",NA
"1462","Ponerini"
"1463",NA
"1464","Ponerini"
"1465","Ponerini"
"1466",NA
"1467","Ponerini"
"1468","Ponerini"
"1469","Ponerini"
"1470","Ponerini"
"1471","Ponerini"
"1472","Ponerini"
"1473","Ponerini"
"1474","Ponerini"
"1475",NA
"1476",NA
"1477","Ponerini"
"1478","Ponerini"
"1479",NA
"1480",NA
"1481",NA
"1482",NA
"1483",NA
"1484",NA
"1485",NA
"1486",NA
"1487",NA
"1488",NA
"1489",NA
"1490",NA
"1491",NA
"1492",NA
"1493",NA
"1494",NA
"1495",NA
"1496",NA
"1497",NA
"1498",NA
"1499",NA
"1500",NA
"1501",NA
"1502",NA
"1503","Pheidolini"
"1504","Pheidolini"
"1505","Ecitonini"
"1506","Ecitonini"
"1507","Ecitonini"
"1508","Ecitonini"
"1509",NA
"1510","Stenammini"
"1511",NA
"1512","Melophorini"
"1513","Melophorini"
"1514",NA
"1515","Lasiini"
"1516","Lasiini"
"1517",NA
"1518",NA
"1519","Lasiini"
"1520",NA
"1521","Lasiini"
"1522","Lasiini"
"1523","Lasiini"
"1524","Lasiini"
"1525","Lasiini"
"1526","Lasiini"
"1527","Lasiini"
"1528",NA
"1529","Lasiini"
