Phy,Consensus.mycorrhizal.state
Robinia_pseudoacacia,EM
Schizolobium_parahyba,AM
Scorodophloeus_zenkeri,AM
Scorpiurus_muricatus,AM
Senna_corymbosa,AM
Senna_multijuga,AM
Senna_reticulata,AM
Senna_spectabilis,AM
Sesbania_formosa,AM
Sesbania_grandiflora,AM
Sesbania_javanica,AM
Sesbania_pachycarpa,AM
Sesbania_punicea,AM
Sesbania_sesban,AM
Sesbania_tomentosa,AM
Sophora_chrysophylla,AM
Spartium_junceum,AM
Strophostyles_umbellata,AM
Stryphnodendron_microstachyum,AM
Stylosanthes_capitata,AM
Stylosanthes_guianensis,AM
Stylosanthes_leiocarpa,AM
Stylosanthes_macrocephala,AM
Swainsona_phacoides,AM
Swartzia_jenmanii,AM
Tamarindus_indica,AM
Tephrosia_purpurea,AM
Tephrosia_sphaerospora,AM
Tetraberlinia_bifoliolata,EM
Tetraberlinia_moreliana,EM
Thermopsis_lanceolata,AM
Tipuana_tipu,AM
Trifolium_alexandrinum,AM
Trifolium_alpestre,AMNM
Trifolium_ambiguum,AM
Trifolium_arvense,AM
Trifolium_aureum,AM
Trifolium_badium,AM
Trifolium_campestre,AM
Trifolium_canescens,AM
Trifolium_dubium,AM
Trifolium_fragiferum,AMNM
Trifolium_glomeratum,AM
Trifolium_hybridum,AMNM
Trifolium_incarnatum,AM
Trifolium_lupinaster,AM
Trifolium_medium,AM
Trifolium_pratense,AMNM
Trifolium_repens,AM
Trifolium_resupinatum,AMNM
Trifolium_spadiceum,AM
Trifolium_subterraneum,AMNM
Ulex_europaeus,AM
Vicia_cassubica,AMNM
Vicia_cracca,AM
Vicia_faba,AM
Vicia_hirsuta,AM
Vicia_sativa,AM
Vicia_sepium,AM
Vicia_sylvatica,AM
Vicia_tenuifolia,AM
Vicia_tetrasperma,AM
Vicia_villosa,AM
Vigna_aconitifolia,AM
Vigna_luteola,AM
Vigna_marina,AM
Vigna_mungo,AM
Vigna_parkeri,AM
Vigna_radiata,AM
Vigna_unguiculata,AM
Wisteria_sinensis,AM
Xylia_xylocarpa,AM
Zornia_brasiliensis,AM
Zornia_glabra,AM
